Text,all_locs,display_name,address_type,lat,lon,bounding_box
THE FAMINE PERIOD AND POTATO DISEASES IN IRELAND 1844-1847,"['IRELAND', None, 'IRELAND, Ireland']",Éire / Ireland,country,52.865196,-7.9794599,"['51.2220000', '55.6360000', '-11.0133788', '-5.6582363']"
"Published every Saturday morning at 23 Bachelors Walk, Dublin","['Dublin', None, 'Dublin, Ireland']","Dublin, County Dublin, Leinster, Éire / Ireland",city,53.3493795,-6.2605593,"['53.2987342', '53.4105416', '-6.3870259', '-6.1148829']"
"January 2011  CONTENTS Page Introduction 1 1844 Cause of failure in potatoes 7 Curl in potatoes . 7 Good effects of depriving the potato plant of its blossoms I 8 The failure of the potato crop 10 Potato failures 11 Potato failures 12 Potato failures 13 Potato failures 15 Potato failures I 16 Potato failures = I 17 On potato failures [I 19 Potato failures 20 To prevent potato failures 21 The Crop 22 Enormous crop of potatoes 22 On the potato failure 23 On planting potatoes so as to avoid failures 24 Experimentation of autumn planting of potatoes 24 On depriving potatoes of their blossoms 25 A profitable mode of planting early potatoes 26 Experiment in planting potatoes in autumn 26 Potato failures 27 The Victoria potato 29 Taint in potatoes 29 An experiment on potatoes by John Grey Esq., Dilstok 30 Experiments with potatoes 32 Farina of damaged potatoes 33 1845 Potato disease 33 Dry rot in potatoes 34 Experiment with potatoes 34 On a method of propagating potatoes for seed I 35 Potato culture 36 On potato and turnip culture 38 Improved cultivation of the npotato 38 Expeditious mode of planting potatoes 40 After-culture of drill potatoes 41 After-culture of potatoes 41 The cultivation of Bangor potatoes 43 Preparation of seed potatoes 44 I On the cultivation of Bangor potatoes 44 The true cause of the disease and failure of the potato crop 45 Storing potatoes 52 On potato planting and failures 53 Effects of different manures on potatoes 55","['Bangor', None, 'Bangor, Ireland']","Bangor, Penobscot County, Maine, 04401, United States",city,44.8016255,-68.7713289,"['44.7775455', '44.8801777', '-68.8590412', '-68.7187359']"
"January 2011  CONTENTS Page Introduction 1 1844 Cause of failure in potatoes 7 Curl in potatoes . 7 Good effects of depriving the potato plant of its blossoms I 8 The failure of the potato crop 10 Potato failures 11 Potato failures 12 Potato failures 13 Potato failures 15 Potato failures I 16 Potato failures = I 17 On potato failures [I 19 Potato failures 20 To prevent potato failures 21 The Crop 22 Enormous crop of potatoes 22 On the potato failure 23 On planting potatoes so as to avoid failures 24 Experimentation of autumn planting of potatoes 24 On depriving potatoes of their blossoms 25 A profitable mode of planting early potatoes 26 Experiment in planting potatoes in autumn 26 Potato failures 27 The Victoria potato 29 Taint in potatoes 29 An experiment on potatoes by John Grey Esq., Dilstok 30 Experiments with potatoes 32 Farina of damaged potatoes 33 1845 Potato disease 33 Dry rot in potatoes 34 Experiment with potatoes 34 On a method of propagating potatoes for seed I 35 Potato culture 36 On potato and turnip culture 38 Improved cultivation of the npotato 38 Expeditious mode of planting potatoes 40 After-culture of drill potatoes 41 After-culture of potatoes 41 The cultivation of Bangor potatoes 43 Preparation of seed potatoes 44 I On the cultivation of Bangor potatoes 44 The true cause of the disease and failure of the potato crop 45 Storing potatoes 52 On potato planting and failures 53 Effects of different manures on potatoes 55","['Bangor', None, 'Bangor, Ireland']","Bangor, Penobscot County, Maine, 04401, United States",city,44.8016255,-68.7713289,"['44.7775455', '44.8801777', '-68.8590412', '-68.7187359']"
)  poate cultivation 55 Potato failure 57 Potato failure 57 State of the weather and crops 58 On the cultivation of the potato 58 Cure for potato rot (Blight in UK) 59 The potato crop (Blight in Ireland) 60 Rot in potatoes (Blight in Ireland) I 61 Royal Agricultural Improvement Society of Ireland 61 I Potato Crop 61 Hadleigh Farmers Club (UK) 62 Failure in the potato crop 64 The potato disease 68 Failure in the potato 69 Failure in the potato crop 70 Potato failure 70 Disease in the potato 71 Royal Agricultural Improvement Society of Ireland 72 Potato disease 73 Potato and turnip epidemic 74,"['UK', None, 'UK, Ireland']",,,,,
)  poate cultivation 55 Potato failure 57 Potato failure 57 State of the weather and crops 58 On the cultivation of the potato 58 Cure for potato rot (Blight in UK) 59 The potato crop (Blight in Ireland) 60 Rot in potatoes (Blight in Ireland) I 61 Royal Agricultural Improvement Society of Ireland 61 I Potato Crop 61 Hadleigh Farmers Club (UK) 62 Failure in the potato crop 64 The potato disease 68 Failure in the potato 69 Failure in the potato crop 70 Potato failure 70 Disease in the potato 71 Royal Agricultural Improvement Society of Ireland 72 Potato disease 73 Potato and turnip epidemic 74,"['Ireland', None, 'Ireland, Ireland']",Éire / Ireland,country,52.865196,-7.9794599,"['51.2220000', '55.6360000', '-11.0133788', '-5.6582363']"
)  poate cultivation 55 Potato failure 57 Potato failure 57 State of the weather and crops 58 On the cultivation of the potato 58 Cure for potato rot (Blight in UK) 59 The potato crop (Blight in Ireland) 60 Rot in potatoes (Blight in Ireland) I 61 Royal Agricultural Improvement Society of Ireland 61 I Potato Crop 61 Hadleigh Farmers Club (UK) 62 Failure in the potato crop 64 The potato disease 68 Failure in the potato 69 Failure in the potato crop 70 Potato failure 70 Disease in the potato 71 Royal Agricultural Improvement Society of Ireland 72 Potato disease 73 Potato and turnip epidemic 74,"['Ireland', None, 'Ireland, Ireland']",Éire / Ireland,country,52.865196,-7.9794599,"['51.2220000', '55.6360000', '-11.0133788', '-5.6582363']"
)  poate cultivation 55 Potato failure 57 Potato failure 57 State of the weather and crops 58 On the cultivation of the potato 58 Cure for potato rot (Blight in UK) 59 The potato crop (Blight in Ireland) 60 Rot in potatoes (Blight in Ireland) I 61 Royal Agricultural Improvement Society of Ireland 61 I Potato Crop 61 Hadleigh Farmers Club (UK) 62 Failure in the potato crop 64 The potato disease 68 Failure in the potato 69 Failure in the potato crop 70 Potato failure 70 Disease in the potato 71 Royal Agricultural Improvement Society of Ireland 72 Potato disease 73 Potato and turnip epidemic 74,"['UK', None, 'UK, Ireland']",,,,,
"I On storing potatoes 149 On storing potatoes 150 I Planting potatoes with furze ; 151 Singular circumstance regarding the disease in potatoes 152 On the manufacture of potato starch, tapioca &c. “t 452 Miscellaneous 156 Royal Agricultural Improvement Society of Ireland 156 Dublin Natural History Society 159","['Ireland', None, 'Ireland, Ireland']",Éire / Ireland,country,52.865196,-7.9794599,"['51.2220000', '55.6360000', '-11.0133788', '-5.6582363']"
[On raising potatoes from seed 183 The potato crop_ 185 The potato disease etc. 185 Earl of Devon on the supply of food for Ireland 186 North Dublin Union 188 Royal Agricultural Improvement Society of Ireland 189 Resignation of Sir Robert Peel 193,"['Ireland', None, 'Ireland, Ireland']",Éire / Ireland,country,52.865196,-7.9794599,"['51.2220000', '55.6360000', '-11.0133788', '-5.6582363']"
